Product Details,ASIN,Type,Lure Type,Size,URL,Image URL,Brand,Price  US$,ASIN Sales,ASIN Revenue,BSR,Ratings,Review Count,Images,Review velocity
"Aunt Fannie's FlyPunch Fruit Fly Trap Bundle for Indoor and Kitchen Use, Ready to Use, Made with Plant Based Ingredients, Safe Near Food, Long Lasting, 32 oz Refill and 6 oz Single",B0F4KZFPYQ,Lure,Trap,1,https://www.amazon.com/dp/B0F4KZFPYQ?psc=1,https://m.media-amazon.com/images/I/81lGk--IlDL._AC_SY450_.jpg,Aunt Fannie's,24.99,107,"2,678.52",828,3.9,"25,096",7,38
"PIC FR10B 69060216325 Fly Ribbons Fruit Fly Traps for Indoors and Outdoors, Bug Trap for Winged Insects, Set of 10",B005V6ASZU,Sticky traps,,,https://www.amazon.com/dp/B005V6ASZU?psc=1,https://m.media-amazon.com/images/I/71hjQ9A4y8L._AC_SY450_.jpg,PIC,8.99,269,"2,326.73","23,193",4.2,"20,160",9,4
"Catchmaster Gold Stick Fly Trap 4-Pk, Bug & Fruit Fly Traps for Indoors & Outdoors, Premium Adhesive Mosquito, Gnat, & Bug Catcher, Insect Killer, Bulk Pest Control for Home",B083ZGVJ28,Sticky traps,,,https://www.amazon.com/dp/B083ZGVJ28?psc=1,https://m.media-amazon.com/images/I/811qnkA6+fL._AC_SY450_.jpg,Catchmaster,21.85,102,"2,222.36","59,433",3.7,"2,969",6,0
"Qualirey 8 Pack Fruit Fly Trap Refill Liquid, 0.68oz/ Bottle Liquid Fruit Fly Traps for Indoors Non Toxic Safe Near Food, Effective Lure Refill for Indoor and Kitchen Use, Red",B0DCP22M9Y,Lure,Refill,8,https://www.amazon.com/dp/B0DCP22M9Y?psc=1,https://m.media-amazon.com/images/I/81cavsTq9XL._AC_SY355_.jpg,Qualirey,15.99,122,"1,954.68","3,391",4.3,591,8,34
"Qualirey 12 Pack Fruit Fly Trap Refill Liquid, 0.68oz Per Bottle Liquid Fruit Fly Traps for Indoors, Non Toxic Bait Safe Near Pets, Food and Kids, Lure Refill for Home Kitchen",B0CXXC99TZ,Lure,Refill,12,https://www.amazon.com/dp/B0CXXC99TZ?psc=1,https://m.media-amazon.com/images/I/81+PmsH5-GL._AC_SY450_.jpg,Qualirey,19.99,95,"1,890.84","6,066",4.4,659,8,28
"Qualirey 20 Pack Fruit Fly Trap Refill Liquid, 0.68oz/ Bottle Liquid Fruit Fly Traps for Indoors Non Toxic Safe Near Food, Effective Lure Refill for Indoor and Kitchen Use, Red",B0DCP1K7B6,Lure,Refill,20,https://www.amazon.com/dp/B0DCP1K7B6?psc=1,https://m.media-amazon.com/images/I/81wQM+0rP8L._AC_SX425_.jpg,Qualirey,24.99,62,"1,552.63","3,391",4.3,591,8,34
"Super Ninja Fungus Gnat & Fruit Fly Traps - 10 Gnat Sticky Traps for Plants & 2 Highly Effective Fruit Fly Catchers for Indoors, Kid & Pet Friendly, Ready to Use, Up to 3 Months of Performance",B0DX884Y1W,Lure,Trap,2,https://www.amazon.com/dp/B0DX884Y1W?psc=1,https://m.media-amazon.com/images/I/91fz0l6ZR4L._AC_SY450_.jpg,Super Ninja,12.99,96,"1,247.78",464,3.7,"13,584",8,280
"Qualirey 12 Pack Fruit Fly Trap Refill Liquid, 0.68oz/ Bottle Liquid Fruit Fly Traps for Indoors Non Toxic Safe Near Food, Effective Lure Refill for Indoor and Kitchen Use, Red",B0DCP2TKL5,Lure,Refill,12,https://www.amazon.com/dp/B0DCP2TKL5?psc=1,https://m.media-amazon.com/images/I/81PWd+GnwqL._AC_SX425_.jpg,Qualirey,17.99,65,"1,171.66","3,391",4.3,591,8,34
RESCUE! Fruit Fly Trap Bait Refill – 30 Day Supply – 10 Pack,B00MP3DZ4I,Lure,Refill,10,https://www.amazon.com/dp/B00MP3DZ4I?psc=1,https://m.media-amazon.com/images/I/81b9qKLh8sL._AC_SX466_.jpg,RESCUE!,21.18,33,695.12,"131,221",4.5,180,7,2
"Qualirey Fruit Fly Trap for Indoor and Kitchen Use, 0.68 oz Each Bottle Fruit Fly Trap Refill Liquid, Ready to Use, Safe Near Food, Efficient Lure Refill Liquid, Yellow(4 Pack)",B0F43HQK4C,Lure,Refill,4,https://www.amazon.com/dp/B0F43HQK4C?psc=1,https://m.media-amazon.com/images/I/71aCGSlL1nL._AC_SX466_.jpg,Qualirey,8.99,76,678.12,"6,066",4.4,659,8,28
Natural Catch Fruit Fly Traps - 2 Traps,B004FDUHS8,Passive attractor,,,https://www.amazon.com/dp/B004FDUHS8?psc=1,https://m.media-amazon.com/images/I/71ooKTiA1LL._AC_SY450_.jpg,Natural Catch,18.51,39,677.5,"73,048",3.9,917,1,0
"Qualirey Fruit Fly Trap for Indoor and Kitchen Use, 0.68 oz Each Bottle Fruit Fly Trap Refill Liquid, Ready to Use, Safe Near Food, Efficient Lure Refill Liquid, Yellow(6 Pack)",B0F43FPGBK,Lure,Refill,6,https://www.amazon.com/dp/B0F43FPGBK?psc=1,https://m.media-amazon.com/images/I/71bm8sZr4eL._AC_SX466_.jpg,Qualirey,11.99,52,626.17,"6,064",4.4,659,8,28
UV Fruit Fly Traps for Indoors + Sticky Traps 2pk- Fruit Fly Traps Indoor for Home - Fruit Fly Trap & Gnat Traps for House Indoor - Fly Killer - Gnat Catcher,B0DHCJ3DL9,Lure,Trap,2,https://www.amazon.com/dp/B0DHCJ3DL9?psc=1,https://m.media-amazon.com/images/I/71rHL3lhVnL._AC_SY450_.jpg,Acme Approved,4.99,125,623.02,"50,218",3,186,7,10
"Qualirey Fruit Fly Trap for Indoor and Kitchen Use, 0.68 oz Each Bottle Fruit Fly Trap Refill Liquid, Ready to Use, Safe Near Food, Efficient Lure Refill Liquid, Yellow(8 Pack)",B0F43HFFYM,Lure,Refill,8,https://www.amazon.com/dp/B0F43HFFYM?psc=1,https://m.media-amazon.com/images/I/81aSssqgZtL._AC_SY450_.jpg,Qualirey,13.99,38,525.42,"6,064",4.4,659,8,18
"Qualirey Fruit Fly Trap for Indoor and Kitchen Use, 0.68 oz Each Bottle Fruit Fly Trap Refill Liquid, Ready to Use, Safe Near Food, Efficient Lure Refill Liquid, Yellow(12 Pack)",B0F43FB193,Lure,Refill,12,https://www.amazon.com/dp/B0F43FB193?psc=1,https://m.media-amazon.com/images/I/81m1OyrX8SL._AC_SY355_.jpg,Qualirey,15.99,28,447.95,"6,064",4.4,659,8,18
"Qualirey Fruit Fly Trap for Indoor and Kitchen Use, 0.68 oz Each Bottle Fruit Fly Trap Refill Liquid, Ready to Use, Safe Near Food, Efficient Lure Refill Liquid, Yellow(16 Pack)",B0F43GM9C5,Lure,Refill,16,https://www.amazon.com/dp/B0F43GM9C5?psc=1,https://m.media-amazon.com/images/I/81RG3qbUc0L._AC_SX466_.jpg,Qualirey,15.99,27,427.87,"6,061",4.4,659,8,28
"Qualirey Fruit Fly Trap for Indoor and Kitchen Use, 0.68 oz Each Bottle Fruit Fly Trap Refill Liquid, Ready to Use, Safe Near Food, Efficient Lure Refill Liquid, Yellow (20 Pack)",B0F43FXY11,Lure,Refill,20,https://www.amazon.com/dp/B0F43FXY11?psc=1,https://m.media-amazon.com/images/I/81cMyoWlO3L._AC_SX679_.jpg,Qualirey,19.99,19,375.29,"6,064",4.4,659,8,28
"Super Ninja Fruit Fly Traps for Indoors - 1 Pack, Highly Effective Fruit Fly Catcher for Indoor Use for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Kid & Pet Friendly",B0D5DJW9BY,Lure,Trap,1,https://www.amazon.com/dp/B0D5DJW9BY?psc=1,https://m.media-amazon.com/images/I/81qwbbG2AKL._AC_SX425_.jpg,Super Ninja,7.99,25,202.01,464,3.7,"13,584",8,280
